"CODE","1200alcoholTOTAL2012count","1200alcoholTOTAL2012density"
"S01006666",29,6.41040743009023
"S01006667",34,7.51565009045061
"S01006668",52,11.494523667748
"S01006669",32,7.07355302630646
"S01006670",67,14.8102516488291
"S01006671",25,5.52621330180192
"S01006672",34,7.51565009045061
"S01006673",33,7.29460155837854
"S01006674",31,6.85250449423438
"S01006675",36,7.95774715459477
"S01006676",38,8.39984421873892
"S01006677",46,10.1682324753155
"S01006678",21,4.64201917351361
"S01006679",23,5.08411623765777
"S01006680",22,4.86306770558569
"S01006681",17,3.75782504522531
"S01006682",30,6.63145596216231
"S01006683",37,8.17879568666684
"S01006684",28,6.18935889801815
"S01006685",22,4.86306770558569
"S01006686",24,5.30516476972984
"S01006687",29,6.41040743009023
"S01006688",31,6.85250449423438
"S01006689",32,7.07355302630646
"S01006690",31,6.85250449423438
"S01006691",49,10.8313780715318
"S01006692",39,8.620892750811
"S01006693",31,6.85250449423438
"S01006694",21,4.64201917351361
"S01006695",16,3.53677651315323
"S01006696",13,2.873630916937
"S01006697",13,2.873630916937
"S01006698",20,4.42097064144154
"S01006699",18,3.97887357729738
"S01006700",22,4.86306770558569
"S01006701",20,4.42097064144154
"S01006702",22,4.86306770558569
"S01006703",22,4.86306770558569
"S01006704",22,4.86306770558569
"S01006705",20,4.42097064144154
"S01006706",19,4.19992210936946
"S01006707",17,3.75782504522531
"S01006708",13,2.873630916937
"S01006709",11,2.43153385279285
"S01006710",6,1.32629119243246
"S01006711",9,1.98943678864869
"S01006712",14,3.09467944900908
"S01006713",21,4.64201917351361
"S01006714",20,4.42097064144154
"S01006715",20,4.42097064144154
"S01006716",22,4.86306770558569
"S01006717",22,4.86306770558569
"S01006718",22,4.86306770558569
"S01006719",11,2.43153385279285
"S01006720",13,2.873630916937
"S01006721",11,2.43153385279285
"S01006722",18,3.97887357729738
"S01006723",16,3.53677651315323
"S01006724",17,3.75782504522531
"S01006725",10,2.21048532072077
"S01006726",20,4.42097064144154
"S01006727",16,3.53677651315323
"S01006728",16,3.53677651315323
"S01006729",24,5.30516476972984
"S01006730",12,2.65258238486492
"S01006731",13,2.873630916937
"S01006732",1,0.221048532072077
"S01006733",1,0.221048532072077
"S01006734",1,0.221048532072077
"S01006735",2,0.442097064144154
"S01006736",1,0.221048532072077
"S01006737",2,0.442097064144154
"S01006738",16,3.53677651315323
"S01006739",17,3.75782504522531
"S01006740",13,2.873630916937
"S01006741",9,1.98943678864869
"S01006742",8,1.76838825657661
"S01006743",10,2.21048532072077
"S01006744",16,3.53677651315323
"S01006745",14,3.09467944900908
"S01006746",10,2.21048532072077
"S01006747",12,2.65258238486492
"S01006748",13,2.873630916937
"S01006749",12,2.65258238486492
"S01006750",9,1.98943678864869
"S01006751",11,2.43153385279285
"S01006752",12,2.65258238486492
"S01006753",15,3.31572798108115
"S01006754",14,3.09467944900908
"S01006755",10,2.21048532072077
"S01006756",19,4.19992210936946
"S01006757",7,1.54733972450454
"S01006758",12,2.65258238486492
"S01006759",21,4.64201917351361
"S01006760",7,1.54733972450454
"S01006761",5,1.10524266036038
"S01006762",4,0.884194128288307
"S01006763",3,0.663145596216231
"S01006764",5,1.10524266036038
"S01006765",3,0.663145596216231
"S01006766",2,0.442097064144154
"S01006767",7,1.54733972450454
"S01006768",7,1.54733972450454
"S01006769",6,1.32629119243246
"S01006770",7,1.54733972450454
"S01006771",6,1.32629119243246
"S01006772",9,1.98943678864869
"S01006773",6,1.32629119243246
"S01006774",5,1.10524266036038
"S01006775",20,4.42097064144154
"S01006776",14,3.09467944900908
"S01006777",11,2.43153385279285
"S01006778",13,2.873630916937
"S01006779",16,3.53677651315323
"S01006780",17,3.75782504522531
"S01006781",15,3.31572798108115
"S01006782",16,3.53677651315323
"S01006783",15,3.31572798108115
"S01006784",16,3.53677651315323
"S01006785",5,1.10524266036038
"S01006786",4,0.884194128288307
"S01006787",11,2.43153385279285
"S01006788",5,1.10524266036038
"S01006789",18,3.97887357729738
"S01006790",19,4.19992210936946
"S01006791",0,0
"S01006792",0,0
"S01006793",13,2.873630916937
"S01006794",5,1.10524266036038
"S01006795",7,1.54733972450454
"S01006796",1,0.221048532072077
"S01006797",3,0.663145596216231
"S01006798",1,0.221048532072077
"S01006799",7,1.54733972450454
"S01006800",0,0
"S01006801",7,1.54733972450454
"S01006802",4,0.884194128288307
"S01006803",7,1.54733972450454
"S01006804",7,1.54733972450454
"S01006805",7,1.54733972450454
"S01006806",0,0
"S01006807",0,0
"S01006808",2,0.442097064144154
"S01006809",2,0.442097064144154
"S01006810",3,0.663145596216231
"S01006811",0,0
"S01006812",1,0.221048532072077
"S01006813",2,0.442097064144154
"S01006814",8,1.76838825657661
"S01006815",8,1.76838825657661
"S01006816",8,1.76838825657661
"S01006817",0,0
"S01006818",1,0.221048532072077
"S01006819",0,0
"S01006820",2,0.442097064144154
"S01006821",0,0
"S01006822",0,0
"S01006823",28,6.18935889801815
"S01006824",27,5.96831036594608
"S01006825",12,2.65258238486492
"S01006826",5,1.10524266036038
"S01006827",34,7.51565009045061
"S01006828",30,6.63145596216231
"S01006829",27,5.96831036594608
"S01006830",5,1.10524266036038
"S01006831",23,5.08411623765777
"S01006832",29,6.41040743009023
"S01006833",34,7.51565009045061
"S01006834",4,0.884194128288307
"S01006835",31,6.85250449423438
"S01006836",25,5.52621330180192
"S01006837",4,0.884194128288307
"S01006838",5,1.10524266036038
"S01006839",4,0.884194128288307
"S01006840",5,1.10524266036038
"S01006841",5,1.10524266036038
"S01006842",9,1.98943678864869
"S01006843",9,1.98943678864869
"S01006844",8,1.76838825657661
"S01006845",7,1.54733972450454
"S01006846",7,1.54733972450454
"S01006847",9,1.98943678864869
"S01006848",0,0
"S01006849",4,0.884194128288307
"S01006850",5,1.10524266036038
"S01006851",8,1.76838825657661
"S01006852",2,0.442097064144154
"S01006853",1,0.221048532072077
"S01006854",1,0.221048532072077
"S01006855",0,0
"S01006856",2,0.442097064144154
"S01006857",0,0
"S01006858",0,0
"S01006859",10,2.21048532072077
"S01006860",20,4.42097064144154
"S01006861",6,1.32629119243246
"S01006862",17,3.75782504522531
"S01006863",5,1.10524266036038
"S01006864",7,1.54733972450454
"S01006865",21,4.64201917351361
"S01006866",22,4.86306770558569
"S01006867",18,3.97887357729738
"S01006868",21,4.64201917351361
"S01006869",2,0.442097064144154
"S01006870",4,0.884194128288307
"S01006871",4,0.884194128288307
"S01006872",1,0.221048532072077
"S01006873",2,0.442097064144154
"S01006874",0,0
"S01006875",3,0.663145596216231
"S01006876",3,0.663145596216231
"S01006877",0,0
"S01006878",2,0.442097064144154
"S01006879",0,0
"S01006880",0,0
"S01006881",0,0
"S01006882",8,1.76838825657661
"S01006883",8,1.76838825657661
"S01006884",8,1.76838825657661
"S01006885",5,1.10524266036038
"S01006886",1,0.221048532072077
"S01006887",8,1.76838825657661
"S01006888",1,0.221048532072077
"S01006889",6,1.32629119243246
"S01006890",6,1.32629119243246
"S01006891",6,1.32629119243246
"S01006892",6,1.32629119243246
"S01006893",6,1.32629119243246
"S01006894",37,8.17879568666684
"S01006895",31,6.85250449423438
"S01006896",36,7.95774715459477
"S01006897",27,5.96831036594608
"S01006898",7,1.54733972450454
"S01006899",5,1.10524266036038
"S01006900",7,1.54733972450454
"S01006901",14,3.09467944900908
"S01006902",32,7.07355302630646
"S01006903",6,1.32629119243246
"S01006904",15,3.31572798108115
"S01006905",33,7.29460155837854
"S01006906",37,8.17879568666684
"S01006907",32,7.07355302630646
"S01006908",36,7.95774715459477
"S01006909",5,1.10524266036038
"S01006910",0,0
"S01006911",22,4.86306770558569
"S01006912",0,0
"S01006913",4,0.884194128288307
"S01006914",1,0.221048532072077
"S01006915",0,0
"S01006916",3,0.663145596216231
"S01006917",2,0.442097064144154
"S01006918",3,0.663145596216231
"S01006919",2,0.442097064144154
"S01006920",3,0.663145596216231
"S01006921",2,0.442097064144154
"S01006922",0,0
"S01006923",2,0.442097064144154
"S01006924",2,0.442097064144154
"S01006925",4,0.884194128288307
"S01006926",4,0.884194128288307
"S01006927",4,0.884194128288307
"S01006928",4,0.884194128288307
"S01006929",9,1.98943678864869
"S01006930",12,2.65258238486492
"S01006931",0,0
"S01006932",2,0.442097064144154
