"CODE","3000alcoholOff2012count","3000alcoholOff2012density"
"S01006703",58,2.05133037762887
"S01006704",47,1.66228496118202
"S01006705",66,2.33427249868113
"S01006706",75,2.65258238486492
"S01006707",98,3.46604098289017
"S01006708",38,1.34397507499823
"S01006709",32,1.13176848420903
"S01006710",31,1.0964007190775
"S01006711",34,1.2025040144721
"S01006712",39,1.37934284012976
"S01006713",53,1.87449155197121
"S01006714",84,2.97089227104871
"S01006715",69,2.44037579407573
"S01006716",84,2.97089227104871
"S01006717",68,2.4050080289442
"S01006718",90,3.18309886183791
"S01006719",39,1.37934284012976
"S01006720",40,1.41471060526129
"S01006721",43,1.52081390065589
"S01006722",64,2.26353696841807
"S01006723",56,1.98059484736581
"S01006724",48,1.69765272631355
"S01006725",47,1.66228496118202
"S01006726",65,2.2989047335496
"S01006727",56,1.98059484736581
"S01006728",46,1.62691719605049
"S01006729",82,2.90015674078565
"S01006730",44,1.55618166578742
"S01006731",40,1.41471060526129
"S01006732",8,0.282942121052258
"S01006733",4,0.141471060526129
"S01006734",2,0.0707355302630646
"S01006735",2,0.0707355302630646
"S01006736",8,0.282942121052258
"S01006737",4,0.141471060526129
"S01006738",33,1.16713624934057
"S01006739",44,1.55618166578742
"S01006740",28,0.990297423682904
"S01006741",27,0.954929658551372
"S01006742",26,0.91956189341984
"S01006743",17,0.601252007236049
"S01006744",23,0.813458598025243
"S01006745",23,0.813458598025243
"S01006746",20,0.707355302630646
"S01006747",18,0.636619772367581
"S01006748",11,0.389045416446855
"S01006749",6,0.212206590789194
"S01006750",5,0.176838825657661
"S01006751",6,0.212206590789194
"S01006752",6,0.212206590789194
"S01006753",9,0.318309886183791
"S01006754",11,0.389045416446855
"S01006755",5,0.176838825657661
"S01006756",70,2.47574355920726
"S01006757",49,1.73302049144508
"S01006758",52,1.83912378683968
"S01006759",59,2.08669814276041
"S01006760",46,1.62691719605049
"S01006761",45,1.59154943091895
"S01006762",25,0.884194128288307
"S01006763",7,0.247574355920726
"S01006764",19,0.671987537499114
"S01006765",20,0.707355302630646
"S01006766",8,0.282942121052258
"S01006767",30,1.06103295394597
"S01006768",38,1.34397507499823
"S01006769",33,1.16713624934057
"S01006770",29,1.02566518881444
"S01006771",19,0.671987537499114
"S01006772",29,1.02566518881444
"S01006773",24,0.848826363156775
"S01006774",20,0.707355302630646
"S01006775",55,1.94522708223428
"S01006776",48,1.69765272631355
"S01006777",38,1.34397507499823
"S01006778",43,1.52081390065589
"S01006779",46,1.62691719605049
"S01006780",53,1.87449155197121
"S01006781",34,1.2025040144721
"S01006782",33,1.16713624934057
"S01006783",37,1.3086073098667
"S01006784",50,1.76838825657661
"S01006785",7,0.247574355920726
