"CODE","2000alcoholTOTAL2012count","2000alcoholTOTAL2012density"
"S01006567",407,32.3880309192007
"S01006568",397,31.5922562037412
"S01006569",395,31.4331012606493
"S01006570",394,31.3535237891034
"S01006571",383,30.478171602098
"S01006572",152,12.095775674984
"S01006573",278,22.1225370897735
"S01006574",257,20.4514101873086
"S01006575",233,18.5415508702058
"S01006576",326,25.9422557239789
"S01006577",314,24.9873260654276
"S01006578",382,30.398594130552
"S01006579",394,31.3535237891034
"S01006580",357,28.4091573419033
"S01006581",157,12.4936630327138
"S01006582",413,32.8654957484764
"S01006583",396,31.5126787321953
"S01006584",399,31.7514111468331
"S01006585",403,32.0697210330169
"S01006586",425,33.8204254070278
"S01006587",407,32.3880309192007
"S01006588",414,32.9450732200223
"S01006589",408,32.4676083907466
"S01006590",408,32.4676083907466
"S01006591",406,32.3084534476548
"S01006592",387,30.7964814882817
"S01006593",404,32.1492985045629
"S01006594",373,29.6823968866385
"S01006595",389,30.9556364313736
"S01006596",388,30.8760589598277
"S01006597",390,31.0352139029196
"S01006598",365,29.0457771142709
"S01006599",132,10.5042262440651
"S01006600",275,21.8838046751356
"S01006601",348,27.6929600979898
"S01006602",368,29.2845095289087
"S01006603",18,1.43239448782706
"S01006604",40,3.18309886183791
"S01006605",40,3.18309886183791
"S01006606",57,4.53591587811902
"S01006607",51,4.05845104884333
"S01006608",9,0.716197243913529
"S01006609",29,2.30774667483248
"S01006610",28,2.22816920328654
"S01006611",23,1.8302818455568
"S01006612",20,1.59154943091895
"S01006613",11,0.875352187005424
"S01006614",9,0.716197243913529
"S01006615",9,0.716197243913529
"S01006616",10,0.795774715459477
"S01006617",11,0.875352187005424
"S01006618",11,0.875352187005424
"S01006619",11,0.875352187005424
"S01006620",11,0.875352187005424
"S01006621",14,1.11408460164327
"S01006622",13,1.03450713009732
"S01006623",31,2.46690161792438
"S01006624",336,26.7380304394384
"S01006625",298,23.7140865206924
"S01006626",324,25.783100780887
"S01006627",323,25.7035233093411
"S01006628",359,28.5683122849952
"S01006629",274,21.8042272035897
"S01006630",153,12.17535314653
"S01006631",144,11.4591559026165
"S01006632",254,20.2126777726707
"S01006633",129,10.2654938294272
"S01006634",148,11.7774657888003
"S01006635",198,15.7563393660976
"S01006636",73,5.80915542285418
"S01006637",394,31.3535237891034
"S01006638",393,31.2739463175574
"S01006639",404,32.1492985045629
"S01006640",377,30.0007067728223
"S01006641",381,30.3190166590061
"S01006642",400,31.8309886183791
"S01006643",384,30.5577490736439
"S01006644",346,27.5338051548979
"S01006645",411,32.7063408053845
"S01006646",420,33.422538049298
"S01006647",410,32.6267633338385
"S01006648",423,33.6612704639359
"S01006649",415,33.0246506915683
"S01006650",390,31.0352139029196
"S01006651",406,32.3084534476548
"S01006652",405,32.2288759761088
"S01006653",337,26.8176079109844
"S01006654",238,18.9394382279355
"S01006655",372,29.6028194150925
"S01006656",403,32.0697210330169
"S01006657",275,21.8838046751356
"S01006658",399,31.7514111468331
